Datum,    Q,zonuren_dag
2011-05,1876.3870967741937,8.125806451612904
2011-06,1808.0,7.05
2011-07,1553.5806451612902,5.077419354838709
2011-08,1321.483870967742,4.45483870967742
2011-09,1070.9333333333334,5.283333333333333
2011-10,684.2903225806451,4.874193548387097
2011-11,346.6333333333333,3.253333333333333
2011-12,177.0,1.6935483870967742
2012-01,228.32258064516128,2.161290322580645
2012-02,499.9310344827586,3.589655172413793
2012-03,931.4516129032259,5.367741935483871
2012-04,1152.0333333333333,4.043333333333333
2012-05,1732.967741935484,6.741935483870968
2012-06,1579.6666666666667,5.276666666666667
2012-07,1753.6774193548388,6.451612903225806
2012-08,1653.2903225806451,7.048387096774194
2012-09,1096.0666666666666,5.426666666666667
2012-10,595.8387096774194,3.490322580645161
2012-11,265.8666666666667,1.9833333333333334
2012-12,156.48387096774192,1.132258064516129
2013-01,242.25806451612902,2.1451612903225805
2013-02,449.5,2.7857142857142856
2013-03,846.5806451612904,3.9741935483870967
2013-04,1418.2666666666667,6.05
2013-05,1457.0645161290322,5.354838709677419
2013-06,1749.8,5.913333333333333
2013-07,1955.8387096774193,7.767741935483871
2013-08,1640.2903225806451,7.106451612903226
2013-09,1009.5666666666667,4.566666666666666
2013-10,609.8709677419355,3.7
2013-11,250.06666666666666,1.5533333333333335
2013-12,209.96774193548387,2.435483870967742
2014-01,232.41935483870967,2.1580645161290324
2014-02,459.82142857142856,3.125
2014-03,1075.7096774193549,6.538709677419354
2014-04,1423.6,5.83
2014-05,1635.5806451612902,6.206451612903226
2014-06,1987.9333333333334,7.6
2014-07,1813.8709677419354,6.912903225806452
2014-08,1446.483870967742,6.419354838709677
2014-09,1152.3666666666666,5.796666666666667
2014-10,557.9677419354839,3.2225806451612904
2014-11,324.8,2.9566666666666666
2014-12,176.6451612903226,1.8903225806451613
2015-01,217.0,1.7451612903225806
2015-02,537.0714285714286,4.0285714285714285
2015-03,891.8387096774194,5.054838709677419
2015-04,1640.5333333333333,8.013333333333334
2015-05,1784.6774193548388,7.161290322580645
2015-06,1987.7,7.763333333333334
2015-07,1820.225806451613,7.335483870967742
2015-08,1647.4516129032259,6.870967741935484
2015-09,1033.8666666666666,4.953333333333333
2015-10,643.0,4.038709677419355
2015-11,274.8,1.9266666666666667
2015-12,194.80645161290323,2.1129032258064515
2016-01,221.09677419354838,1.8774193548387097
2016-02,496.9310344827586,3.658620689655172
2016-03,882.8387096774194,4.616129032258065
2016-04,1445.2333333333333,6.493333333333334
2016-05,1772.032258064516,6.983870967741935
2016-06,1649.2666666666667,5.319999999999999
2016-07,1768.1612903225807,6.641935483870968
2016-08,1602.516129032258,7.84516129032258
2016-09,1261.6333333333334,7.026666666666667
2016-10,652.1612903225806,4.267741935483872
2016-11,315.3,2.76
2016-12,185.8709677419355,1.8903225806451613
2017-01,277.0967741935484,2.7548387096774194
2017-02,365.92857142857144,2.1357142857142857
2017-03,981.1612903225806,5.661290322580645
2017-04,1422.7333333333333,6.180000000000001
2017-05,1863.4516129032259,7.283870967741936
2017-06,1863.8,7.13
2017-07,1772.741935483871,6.390322580645161
2017-08,1479.032258064516,5.800000000000001
2017-09,1028.6,4.783333333333333
2017-10,573.2258064516129,3.5483870967741935
2017-11,276.8,2.1333333333333333
2017-12,123.64516129032258,0.7967741935483872
2018-01,216.90322580645162,1.5225806451612904
2018-02,671.3214285714286,5.685714285714285
2018-03,871.7096774193549,4.267741935483872
2018-04,1332.3333333333333,5.840000000000001
2018-05,2098.6774193548385,9.12258064516129
2018-06,1863.6,6.83
2018-07,2354.935483870968,10.98709677419355
2018-08,1558.6451612903227,6.638709677419355
2018-09,1190.6,6.3933333333333335
2018-10,777.7096774193549,5.793548387096774
2018-11,327.6666666666667,2.85
2018-12,157.90322580645162,1.2903225806451613
2019-01,227.93548387096774,1.832258064516129
2019-02,613.3571428571429,4.885714285714286
2019-03,775.6774193548387,3.661290322580645
2019-04,1670.6,8.233333333333333
2019-05,1841.483870967742,7.274193548387097
2019-06,2115.633333333333,8.606666666666666
2019-07,1949.516129032258,7.751612903225807
2019-08,1647.5483870967741,7.580645161290323
2019-09,1058.2,5.246666666666667
2019-10,554.0322580645161,3.2193548387096773
2019-11,314.8333333333333,2.5533333333333332
2019-12,216.06451612903226,2.6129032258064515
2020-01,192.5483870967742,1.2935483870967743
2020-02,394.2758620689655,2.3379310344827586
2020-03,1090.774193548387,5.983870967741935
2020-04,1866.1666666666667,9.383333333333333
2020-05,2256.516129032258,10.46774193548387
2020-06,1967.3,7.616666666666666
2020-07,1730.258064516129,6.729032258064516
2020-08,1655.4516129032259,7.235483870967743
2020-09,1182.0333333333333,6.723333333333333
2020-10,460.5806451612903,2.293548387096774
2020-11,310.8333333333333,2.7199999999999998
2020-12,157.16129032258064,1.367741935483871
2021-01,228.0,1.6838709677419357
2021-02,597.9285714285714,4.539285714285714
2021-03,898.0967741935484,4.54516129032258
2021-04,1504.7666666666667,6.826666666666667
2021-05,1609.5483870967741,6.096774193548387
2021-06,2060.4,8.1
2021-07,1674.2903225806451,6.264516129032257
2021-08,1391.6129032258063,5.325806451612903
2021-09,1165.9,5.9399999999999995
2021-10,619.7096774193549,3.9451612903225803
2021-11,276.56666666666666,1.9466666666666665
2021-12,181.03225806451613,1.6225806451612903
